
; <<>> DiG 9.9.5-W1 <<>> @dns.sdju.edu.cn axfr sdju.edu.cn
; (2 servers found)
;; global options: +cmd
sdju.edu.cn.		86400	IN	SOA	sdju.edu.cn. root.sdju.edu.cn. 2011111130 3600 900 604800 86400
sdju.edu.cn.		86400	IN	NS	dns.sdju.edu.cn.
sdju.edu.cn.		86400	IN	MX	10 mail.sdju.edu.cn.
angdian.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
app1.sdju.edu.cn.	86400	IN	A	210.35.68.77
app2.sdju.edu.cn.	86400	IN	A	210.35.68.1
appointment.sdju.edu.cn. 86400	IN	CNAME	app2.sdju.edu.cn.
audit.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
basic.sdju.edu.cn.	86400	IN	CNAME	app.sdju.edu.cn.
bcyy.sdju.edu.cn.	86400	IN	CNAME	oh.sdju.edu.cn.
blog.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
bwc.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
campus.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
career.sdju.edu.cn.	86400	IN	A	210.35.68.48
chengjiao.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
dns.sdju.edu.cn.sdju.edu.cn. 86400 IN	A	210.35.68.5
mail.sdju.edu.cn.sdju.edu.cn. 86400 IN	A	210.35.68.86
st.sdju.edu.cn.sdju.edu.cn. 86400 IN	A	210.35.68.86
consultation.sdju.edu.cn. 86400	IN	CNAME	app2.sdju.edu.cn.
cprogram.sdju.edu.cn.	86400	IN	TXT	"A String"
cri.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
cwc.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
dangban.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
dbw.sdju.edu.cn.	86400	IN	CNAME	oh.sdju.edu.cn.
dns.sdju.edu.cn.	86400	IN	A	210.35.68.5
dqx.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
dwgk.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
fltc.sdju.edu.cn.	86400	IN	CNAME	site.sdju.edu.cn.
