
; <<>> DiG 9.9.5-W1 <<>> @dns1.ctbu.edu.cn axfr ctbu.edu.cn
; (1 server found)
;; global options: +cmd
ctbu.edu.cn.		10800	IN	SOA	dns1.ctbu.edu.cn. root.dns1.ctbu.edu.cn. 2014012001 10800 3600 864000 10800
ctbu.edu.cn.		10800	IN	NS	dns1.ctbu.edu.cn.
ctbu.edu.cn.		10800	IN	NS	dns2.ctbu.edu.cn.
ctbu.edu.cn.		10800	IN	MX	10 mail.ctbu.edu.cn.
ctbu.edu.cn.		10800	IN	A	211.83.206.1
2hbook.ctbu.edu.cn.	10800	IN	A	211.83.206.50
60.ctbu.edu.cn.		10800	IN	A	211.83.206.50
acca.ctbu.edu.cn.	10800	IN	A	211.83.206.10
accs.ctbu.edu.cn.	10800	IN	A	211.83.206.50
accs1.ctbu.edu.cn.	10800	IN	A	211.83.206.50
acgo.ctbu.edu.cn.	10800	IN	A	211.83.206.50
acgodev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
acgozs.ctbu.edu.cn.	10800	IN	A	211.83.206.50
alumni.ctbu.edu.cn.	10800	IN	A	211.83.206.50
animation.ctbu.edu.cn.	10800	IN	A	211.83.206.216
ao.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
app.ctbu.edu.cn.	10800	IN	CNAME	dev.ctbu.edu.cn.
art.ctbu.edu.cn.	10800	IN	A	211.83.206.3
atc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
baowei.ctbu.edu.cn.	10800	IN	A	211.83.206.50
bbs.ctbu.edu.cn.	10800	IN	A	211.83.206.222
bcst.ctbu.edu.cn.	10800	IN	A	211.83.206.3
bcstation.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
biopharm.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
bw.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
ccexpo.ctbu.edu.cn.	10800	IN	A	211.83.206.230
ceecq.ctbu.edu.cn.	10800	IN	A	211.83.207.1
cer.ctbu.edu.cn.	10800	IN	A	211.83.206.28
changjiang.ctbu.edu.cn.	10800	IN	A	211.83.206.47
chembio.ctbu.edu.cn.	10800	IN	A	211.83.206.3
chinalyj.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
cif.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cima.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cjsy.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cjy.ctbu.edu.cn.	10800	IN	A	211.83.206.17
cmjs.ctbu.edu.cn.	10800	IN	A	211.83.206.3
co.ctbu.edu.cn.		10800	IN	A	211.83.206.9
coas.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
code.ctbu.edu.cn.	10800	IN	A	211.83.206.50
cqdlc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cqfr.ctbu.edu.cn.	10800	IN	A	211.83.192.92
cqjrxy.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cqmty.ctbu.edu.cn.	10800	IN	A	211.83.206.208
cqsxy.ctbu.edu.cn.	10800	IN	A	211.83.206.50
cqwl.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cqzyh.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
cr.ctbu.edu.cn.		10800	IN	A	211.83.206.50
ctbu-app.ctbu.edu.cn.	10800	IN	A	211.83.206.94
ctbu-appb.ctbu.edu.cn.	10800	IN	CNAME	ctbu-app.ctbu.edu.cn.
ctbu-idb.ctbu.edu.cn.	10800	IN	CNAME	ctbu-id.ctbu.edu.cn.
ctbu-ldap.ctbu.edu.cn.	10800	IN	A	211.83.206.82
ctbu-ldapb.ctbu.edu.cn.	10800	IN	CNAME	ctbu-ldap.ctbu.edu.cn.
ctbuasp.ctbu.edu.cn.	10800	IN	A	211.83.192.15
ctbuzw.ctbu.edu.cn.	10800	IN	CNAME	www.ctbu.edu.cn.
ctec.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
cwcx.ctbu.edu.cn.	10800	IN	A	211.83.206.49
cwglx.ctbu.edu.cn.	10800	IN	A	211.83.206.10
cxzy.ctbu.edu.cn.	10800	IN	A	211.83.206.50
cyjj.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cyl.ctbu.edu.cn.	10800	IN	A	211.83.206.3
cyldev.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dag.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dagl.ctbu.edu.cn.	10800	IN	A	211.83.206.58
dancingfly.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dcdata.ctbu.edu.cn.	10800	IN	A	211.83.206.12
dd.ctbu.edu.cn.		10800	IN	A	211.83.206.50
ddh.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dean.ctbu.edu.cn.	10800	IN	A	211.83.206.3
www.dean.ctbu.edu.cn.	10800	IN	A	211.83.206.3
deanmis.ctbu.edu.cn.	10800	IN	A	211.83.206.62
deanmisa.ctbu.edu.cn.	10800	IN	A	211.83.206.64
deanmisb.ctbu.edu.cn.	10800	IN	A	211.83.206.66
design.ctbu.edu.cn.	10800	IN	A	211.83.206.50
designdev.ctbu.edu.cn.	10800	IN	A	211.83.206.216
dev.ctbu.edu.cn.	10800	IN	A	211.83.206.94
dhcp1.ctbu.edu.cn.	10800	IN	A	211.83.192.18
dhcp2.ctbu.edu.cn.	10800	IN	CNAME	traffic.ctbu.edu.cn.
djxxh.ctbu.edu.cn.	10800	IN	A	211.83.206.210
dns1.ctbu.edu.cn.	10800	IN	A	211.83.192.28
dns2.ctbu.edu.cn.	10800	IN	A	211.83.192.29
doc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dpo.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
dx.ctbu.edu.cn.		10800	IN	A	211.83.206.1
dxsx.ctbu.edu.cn.	10800	IN	A	211.83.206.224
dyfw.ctbu.edu.cn.	10800	IN	A	211.83.206.3
dzw.ctbu.edu.cn.	10800	IN	A	211.83.206.3
ebes.ctbu.edu.cn.	10800	IN	A	211.83.206.3
ec.ctbu.edu.cn.		10800	IN	A	211.83.206.3
ecard.ctbu.edu.cn.	10800	IN	A	211.83.206.108
eclab.ctbu.edu.cn.	10800	IN	CNAME	pic.ctbu.edu.cn.
ecsc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
eict.ctbu.edu.cn.	10800	IN	A	211.83.206.242
emc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
emcdev.ctbu.edu.cn.	10800	IN	A	211.83.206.10
emclab.ctbu.edu.cn.	10800	IN	A	211.83.206.242
en.ctbu.edu.cn.		10800	IN	A	211.83.206.3
eol.ctbu.edu.cn.	10800	IN	A	211.83.206.93
epc.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
et.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
etcct.ctbu.edu.cn.	10800	IN	A	211.83.206.242
ets.ctbu.edu.cn.	10800	IN	A	211.83.206.3
etsdev.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
excp.ctbu.edu.cn.	10800	IN	A	211.83.206.224
faxue.ctbu.edu.cn.	10800	IN	A	211.83.206.216
femt.ctbu.edu.cn.	10800	IN	A	211.83.206.10
finance.ctbu.edu.cn.	10800	IN	A	211.83.206.3
fo.ctbu.edu.cn.		10800	IN	A	211.83.206.3
foreign.ctbu.edu.cn.	10800	IN	A	211.83.206.3
forum.ctbu.edu.cn.	10800	IN	A	211.83.206.20
fx.ctbu.edu.cn.		10800	IN	A	211.83.206.3
gbpx.ctbu.edu.cn.	10800	IN	A	211.83.206.25
gcsbd.ctbu.edu.cn.	10800	IN	A	211.83.206.3
gczx.ctbu.edu.cn.	10800	IN	A	211.83.206.3
gdlisxp.ctbu.edu.cn.	10800	IN	A	211.83.206.11
gfj.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
gfjy.ctbu.edu.cn.	10800	IN	A	211.83.206.3
ggw.ctbu.edu.cn.	10800	IN	A	211.83.206.10
gjjjx.ctbu.edu.cn.	10800	IN	A	211.83.206.8
gocc.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
gra.ctbu.edu.cn.	10800	IN	A	211.83.206.20
grs.ctbu.edu.cn.	10800	IN	A	211.83.206.57
grsold.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
gw.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
gwh.ctbu.edu.cn.	10800	IN	A	211.83.206.216
gwhb.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
gxjd.ctbu.edu.cn.	10800	IN	A	211.83.206.50
gygl.ctbu.edu.cn.	10800	IN	A	211.83.206.3
gyt.ctbu.edu.cn.	10800	IN	A	211.83.206.216
gzchu.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
hao.ctbu.edu.cn.	10800	IN	A	211.83.206.3
help.ctbu.edu.cn.	10800	IN	A	211.83.206.5
hqc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
hqjt.ctbu.edu.cn.	10800	IN	A	211.83.206.3
hs.ctbu.edu.cn.		10800	IN	A	211.83.206.10
i.ctbu.edu.cn.		10800	IN	A	211.83.206.217
ibl.ctbu.edu.cn.	10800	IN	A	211.83.206.8
ibs.ctbu.edu.cn.	10800	IN	A	211.83.206.10
www.ibs.ctbu.edu.cn.	10800	IN	A	211.83.206.10
ibsalumni.ctbu.edu.cn.	10800	IN	A	211.83.206.10
ibsjw.ctbu.edu.cn.	10800	IN	A	211.83.206.232
icloud.ctbu.edu.cn.	10800	IN	A	211.83.206.240
ie.ctbu.edu.cn.		10800	IN	A	211.83.206.8
if.ctbu.edu.cn.		10800	IN	A	211.83.206.10
impe.ctbu.edu.cn.	10800	IN	A	211.83.206.3
impedev.ctbu.edu.cn.	10800	IN	A	211.83.206.216
indd.ctbu.edu.cn.	10800	IN	CNAME	lca.ctbu.edu.cn.
interoffice.ctbu.edu.cn. 10800	IN	A	211.83.206.221
io.ctbu.edu.cn.		10800	IN	A	211.83.206.3
is.ctbu.edu.cn.		10800	IN	A	211.83.206.10
iwoc.ctbu.edu.cn.	10800	IN	A	211.83.206.50
jbgwh.ctbu.edu.cn.	10800	IN	A	211.83.206.3
job.ctbu.edu.cn.	10800	IN	A	211.83.206.224
journal.ctbu.edu.cn.	10800	IN	A	211.83.206.11
jpk.ctbu.edu.cn.	10800	IN	A	211.83.206.10
jr.ctbu.edu.cn.		10800	IN	A	211.83.206.216
jsjjc.ctbu.edu.cn.	10800	IN	A	211.83.206.242
jwnc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
jwsys.ctbu.edu.cn.	10800	IN	A	211.83.192.24
jwsys1.ctbu.edu.cn.	10800	IN	A	211.83.206.218
jwsyst.ctbu.edu.cn.	10800	IN	A	211.83.206.218
jwweb1.ctbu.edu.cn.	10800	IN	A	211.83.206.229
jwweb2.ctbu.edu.cn.	10800	IN	A	211.83.206.229
jwweb3.ctbu.edu.cn.	10800	IN	A	211.83.206.229
jwweb4.ctbu.edu.cn.	10800	IN	A	211.83.206.229
jx.ctbu.edu.cn.		10800	IN	A	211.83.206.95
jxcg.ctbu.edu.cn.	10800	IN	A	211.83.206.20
jxjy.ctbu.edu.cn.	10800	IN	A	211.83.206.17
jxv.ctbu.edu.cn.	10800	IN	A	211.83.206.96
jxvcenter.ctbu.edu.cn.	10800	IN	A	10.40.0.7
jxw.ctbu.edu.cn.	10800	IN	A	211.83.206.216
jxyl.ctbu.edu.cn.	10800	IN	A	211.83.206.3
jxzx.ctbu.edu.cn.	10800	IN	A	211.83.206.242
jyw.ctbu.edu.cn.	10800	IN	A	211.83.206.224
jz.ctbu.edu.cn.		10800	IN	A	211.83.206.3
jzdev.ctbu.edu.cn.	10800	IN	A	211.83.206.216
jzw.ctbu.edu.cn.	10800	IN	A	211.83.206.96
kjc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
kjgjxm.ctbu.edu.cn.	10800	IN	A	211.83.206.3
kq.ctbu.edu.cn.		10800	IN	A	211.83.206.224
kqgl.ctbu.edu.cn.	10800	IN	A	211.83.206.99
kxfzg.ctbu.edu.cn.	10800	IN	CNAME	baowei.ctbu.edu.cn.
kyc.ctbu.edu.cn.	10800	IN	A	211.83.206.63
kycx.ctbu.edu.cn.	10800	IN	A	211.83.206.215
kz.ctbu.edu.cn.		10800	IN	A	211.83.206.3
kzzz.ctbu.edu.cn.	10800	IN	A	211.83.206.3
lange.ctbu.edu.cn.	10800	IN	A	211.83.206.16
law.ctbu.edu.cn.	10800	IN	A	211.83.206.216
lca.ctbu.edu.cn.	10800	IN	A	211.83.206.242
le.ctbu.edu.cn.		10800	IN	A	211.83.206.242
lib.ctbu.edu.cn.	10800	IN	A	211.83.206.11
www.lib.ctbu.edu.cn.	10800	IN	A	211.83.206.11
linktalk.ctbu.edu.cn.	10800	IN	A	211.83.206.34
listen.ctbu.edu.cn.	10800	IN	A	211.83.206.215
ljc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
ljez.ctbu.edu.cn.	10800	IN	A	211.83.206.20
lovezone.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
lovezone2013.ctbu.edu.cn. 10800	IN	A	211.83.206.241
lsx.ctbu.edu.cn.	10800	IN	A	211.83.206.20
lyj.ctbu.edu.cn.	10800	IN	A	211.83.206.3
lzyjzx.ctbu.edu.cn.	10800	IN	CNAME	baowei.ctbu.edu.cn.
mail.ctbu.edu.cn.	10800	IN	A	211.83.206.26
mall.ctbu.edu.cn.	10800	IN	A	211.83.206.50
map.ctbu.edu.cn.	10800	IN	A	211.83.206.8
marx.ctbu.edu.cn.	10800	IN	A	211.83.206.3
mba.ctbu.edu.cn.	10800	IN	A	211.83.206.50
mbadev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
mc.ctbu.edu.cn.		10800	IN	A	211.83.206.216
mcalumin.ctbu.edu.cn.	10800	IN	A	211.83.206.41
meeting.ctbu.edu.cn.	10800	IN	A	211.83.206.28
mer.ctbu.edu.cn.	10800	IN	A	211.83.206.216
metc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
miada.ctbu.edu.cn.	10800	IN	A	211.83.206.3
miadae.ctbu.edu.cn.	10800	IN	A	211.83.206.3
miadao.ctbu.edu.cn.	10800	IN	A	211.83.206.216
mis.ctbu.edu.cn.	10800	IN	A	211.83.206.216
moodle.ctbu.edu.cn.	10800	IN	A	211.83.206.223
mri.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
ms.ctbu.edu.cn.		10800	IN	A	211.83.206.216
music.ctbu.edu.cn.	10800	IN	CNAME	soft.ctbu.edu.cn.
musicweb.ctbu.edu.cn.	10800	IN	CNAME	video.ctbu.edu.cn.
my.ctbu.edu.cn.		10800	IN	A	211.83.206.50
newera.ctbu.edu.cn.	10800	IN	A	211.83.206.236
news.ctbu.edu.cn.	10800	IN	CNAME	www.ctbu.edu.cn.
nhce.ctbu.edu.cn.	10800	IN	A	211.83.206.11
