gus.buptnet.edu.cn                bupt.edu.cn
dns.cufe.edu.cn                   cufe.edu.cn
dns.bjmu.edu.cn                   bjmu.edu.cn
ring.cugb.edu.cn                  cugb.edu.cn
dns.cnu.edu.cn                    cnu.edu.cn
water.uibe.edu.cn                 uibe.edu.cn
ns2.ruc.edu.cn                    ruc.edu.cn
ss2.bjfu.edu.cn                   bjfu.edu.cn
kd1.cumtb.edu.cn                  cumtb.edu.cn
DNS.blcu.edu.cn                   blcu.edu.cn
ns2.buct.edu.cn                   buct.edu.cn
ns.buct.edu.cn                    buct.edu.cn
bkdns.bucm.edu.cn                 bucm.edu.cn
OUT.bucm.edu.cn                   bucm.edu.cn
nsb.cau.edu.cn                    cau.edu.cn
ns2.cau.edu.cn                    cau.edu.cn
dns.bsu.edu.cn                    bsu.edu.cn
newdns1.ccom.edu.cn               ccom.edu.cn
newdns2.ccom.edu.cn               ccom.edu.cn
ns1.bfa.edu.cn                    bfa.edu.cn
dns.bigc.edu.cn                   bigc.edu.cn
dns1.bua.edu.cn                   bac.edu.cn
ns.besti.edu.cn                   besti.edu.cn
dns.bisu.edu.cn                   bisu.edu.cn
dns2.bisu.edu.cn                  bisu.edu.cn
dns3.pumc.edu.cn                  pumc.edu.cn
dns.tjnu.edu.cn                   tjnu.edu.cn
dns1.bcu.edu.cn                   bcu.edu.cn
dns.tijmu.edu.cn                  tijmu.edu.cn
dns.tjcu.edu.cn                   tjcu.edu.cn
dns.tjufe.edu.cn                  tjufe.edu.cn
dns1.tjufe.edu.cn                 tjufe.edu.cn
dns1.tjut.edu.cn                  tjut.edu.cn
dns.tjut.edu.cn                   tjut.edu.cn
pridns.tjutcm.edu.cn              tjutcm.edu.cn
dns.tjtc.edu.cn                   tjtc.edu.cn
dns1.boustead.edu.cn              boustead.edu.cn
dns.tjfsu.edu.cn                  tjfsu.edu.cn
nm2.hbu.edu.cn                    hbu.edu.cn
ns.hebtu.edu.cn                   hebtu.edu.cn
nm.hbu.cn                         hbu.edu.cn
nm2.hbu.cn                        hbu.edu.cn
ysudns2.ysu.edu.cn                ysu.edu.cn
dnst.hebust.edu.cn                hebust.edu.cn
nm.hbu.edu.cn                     hbu.edu.cn
dns.hebust.edu.cn                 hebust.edu.cn
